timestamp,X,Y,Z
1649357625297,-0.564108,1.544268,10.118948
1649357625316,-0.684945,1.934597,9.622138
1649357625335,-0.565304,2.126023,9.465408
1649357625354,-0.475574,1.978864,9.669994
1649357625373,-0.498305,1.903490,9.832706
1649357625392,-0.426521,1.926222,9.659226
1649357625411,-0.308076,2.072184,9.233006
1649357625430,-0.245563,2.152344,9.052347
1649357625449,-0.264706,2.243570,9.140882
1649357625468,-0.063709,2.433800,9.238987
1649357625487,0.160020,2.470888,9.443872
1649357625506,0.069093,2.390729,9.885648
1649357625525,-0.131904,2.395514,9.963414
1649357625544,-0.148654,2.608476,9.587442
1649357625563,0.006879,2.919842,9.026026
1649357625582,0.077468,3.153142,8.567501
1649357625601,0.100199,3.005983,8.437093
1649357625620,0.053539,2.863611,8.877671
1649357625639,0.052343,2.807379,9.510872
1649357625658,0.015254,2.844468,9.798011
1649357625677,-0.101994,2.912663,9.500104
1649357625696,-0.092423,3.002394,9.154042
1649357625715,0.032004,3.114857,9.047562
1649357625734,0.288335,3.365206,9.012866
1649357625753,0.437887,3.456133,9.102596
1649357625772,0.530010,3.448955,9.329018
1649357625791,0.381655,3.271587,9.451052
1649357625810,0.231805,3.101696,9.449855
1649357625829,-0.001496,3.058625,9.776475
1649357625848,-0.202493,2.995216,10.460224
1649357625867,-0.250349,2.918645,11.004890
1649357625886,-0.312862,2.793022,11.342278
1649357625905,-0.315254,2.736791,11.380564
1649357625924,-0.255135,2.850450,11.216655
1649357625943,-0.303290,2.579762,10.954342
1649357625962,-0.330808,2.287838,10.907682
1649357625981,-0.335593,2.154737,10.920842
1649357626000,-0.359522,2.062613,10.831112
1649357626019,-0.149851,1.904687,10.840683
1649357626038,-0.341575,1.199701,10.992927
1649357626057,-0.617946,1.044168,10.988141
1649357626076,-0.474377,1.840081,10.286446
1649357626095,-0.243171,2.021935,9.230613
1649357626114,-0.454038,2.062613,8.410771
1649357626133,-0.694517,2.111666,7.874480
1649357626152,-0.850050,1.836491,7.819445
1649357626171,-0.811765,1.555036,8.324630
1649357626190,-0.591625,1.417448,8.773583
1649357626209,-0.577268,1.367199,8.627322
1649357626228,-0.596411,1.605584,7.977372
1649357626247,-0.477966,1.908276,7.351349
1649357626266,-0.455234,2.180161,7.078568
1649357626285,-0.397807,2.407479,7.331010
1649357626304,-0.347557,2.589333,7.892426
1649357626323,-0.352343,2.687439,8.347362
1649357626342,-0.261117,2.726023,8.569894
1649357626361,-0.051745,2.609672,8.790333
1649357626380,0.101396,2.625226,9.303594
1649357626399,-0.030209,2.601297,9.998111
1649357626418,-0.277867,2.388336,10.606186
1649357626437,-0.321236,2.363211,11.147264
1649357626456,-0.504287,2.639582,11.433206
